                                      Part Name  Count  Percentage
                          bumper front assembly    160        6.40
                           bumper rear assembly     78        3.12
                               head light right     66        2.64
                                head light left     63        2.52
                         windshield glass front     59        2.36
                        fender panel front left     46        1.84
               sealant front windshield glass 1     46        1.84
                            bonnethood assembly     43        1.72
                       fender panel front right     41        1.64
                      moulding front windshield     35        1.40
                          hinge bonnethood left     32        1.28
                         hinge bonnethood right     31        1.24
                          ac condenser assembly     28        1.12
                          grille radiator upper     27        1.08
                          grille radiator lower     25        1.00
                              radiator assembly     21        0.84
                                      bracket 1     21        0.84
                               tail light right     19        0.76
                                tail light left     19        0.76
                         grille radiator middle     16        0.64
                          dicky  trunk assembly     15        0.60
     side rear view mirror outer assembly right     15        0.60
                             bumper front upper     14        0.56
                                           clip     14        0.56
                                door rear right     14        0.56
                         emblemlogo rear middle     13        0.52
        fender wheel well liningguardcover left     12        0.48
       fender wheel well liningguardcover right     12        0.48
                          cover fog light right     11        0.44
                                 sealant body 1     11        0.44
                                 door rear left     10        0.40
                     bracket front bumper right     10        0.40
                             bumper front lower     10        0.40
                                door front left     10        0.40
                               door front right      9        0.36
                                         holder      9        0.36
                                           bolt      9        0.36
          carrier radiator support lower member      9        0.36
                        quarter panel rear left      8        0.32
      reservoir tank assembly windshield washer      8        0.32
                                      bracket 2      8        0.32
                sealant rear windshield glass 1      8        0.32
                  radiator cooling fan assembly      8        0.32
                             air drying sealant      8        0.32
                          windshield glass rear      7        0.28
                            ac gas  refrigerant      7        0.28
                                       brackets      6        0.24
                       quarter panel rear right      6        0.24
                    strut mcpherson front right      6        0.24
                          fog light front right      6        0.24
                                pipetube liquid      6        0.24
                              bumper rear upper      6        0.24
                                        coolant      6        0.24
                              bumper rear lower      6        0.24
                           cover fog light left      6        0.24
                          lower arm front right      5        0.20
                  absorber comp fr bumper lower      5        0.20
                                      tank assy      5        0.20
                                 condenser assy      5        0.20
                                  radiator assy      5        0.20
                      bracket front bumper left      5        0.20
                      seat belt front passenger      5        0.20
                        horn assembly low pitch      5        0.20
                               latch bonnethood      5        0.20
